Sector,ID,Departamento,Distrito ,Nombre Institucion,1º Grado,2º Grado,3º Grado,4º Grado,5º Grado,6º Grado,latitud aproximada,longitud aproximada
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 6031 MUNICIPAL N° 1 SANTA TERESITA DEL NIÑO JESÚS,39,48,48,50,43,43,"25º21'42.009""S","57º27'0.077""W"
Oficial,7,Itapúa,San Pedro del Paraná,ESCUELA BÁSICA N° 66 ENRIQUE SOLANO LÓPEZ,41,42,54,30,60,44,"26º50'0.204""S","56º12'25.155""W"
Oficial,7,Itapúa,Coronel Bogado,ESCUELA BÁSICA N° 113 TIBURCIO BOGADO,43,46,43,49,51,39,"27º10'6.05""S","56º14'26.806""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 3518 KUARAHY RESE,54,41,33,46,49,48,"25º27'9.245""S","56º1'0.48""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 6115 AMIGOS DEL LAGO YRENDY,45,53,42,43,42,46,"25º29'57.006""S","54º43'6.745""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 858 PROFESOR DOCTOR JUAN JAVALOYES Y GONZÁLEZ,47,36,54,40,47,47,"25º14'6.515""S","57º30'29.637""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 18 REPÚBLICA DE CUBA,60,58,73,60,0,19,"25º16'33.849""S","57º36'38.738""W"
Oficial,11,Central,San Antonio,ESCUELA BÁSICA N° 345 CÁNDIDA ACHUCARRO,52,37,47,47,52,35,"25º26'21.304""S","57º32'35.083""W"
Oficial,2,San Pedro,Guayaibi,ESCUELA BÁSICA N° 657 GENERAL BERNARDINO CABALLERO,51,49,50,49,38,33,"24º31'48.713""S","56º24'24.478""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 5429 JULIO CÉSAR RIQUELME,52,44,44,48,41,41,"25º32'12.644""S","54º39'39.465""W"
Oficial,10,Alto Paraná,Minga Guazú,ESCUELA BÁSICA N° 6006 DIVINO NIÑO,38,44,45,58,42,42,"25º29'52.159""S","54º46'52.865""W"
Oficial,1,Concepción,Yby Yaú,ESCUELA BÁSICA N° 540 EPOPEYA NACIONAL,39,48,39,49,41,51,"22º56'54.465""S","56º31'33.181""W"
Oficial,5,Caaguazú,Caaguazú,ESCUELA BÁSICA N° 561 MARISCAL LÓPEZ,52,36,42,39,48,50,"25º28'8.092""S","56º0'47.433""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 703 PROF. MARÍA LUISA GÓMEZ DE FRANCO,45,45,49,39,43,46,"25º18'41.028""S","57º32'28.627""W"
Oficial,11,Central,Julián Augusto Saldívar,ESCUELA BÁSICA N° 2400 MONSEÑOR JUAN SINFORIANO BOGARÍN,47,47,37,43,42,50,"25º25'37.334""S","57º26'31.917""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 3344 CONSTITUCIÓN,36,44,44,42,55,45,"25º21'19.667""S","57º28'5.147""W"
Oficial,11,Central,Mariano Roque Alonso,ESCUELA BÁSICA N° 2378 FÉLIX RUÍZ,46,43,44,42,40,50,"25º12'14.762""S","57º30'15.237""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 8109 MUNICIPAL N° 5 SAN JOSÉ,39,50,42,52,42,40,"25º26'7.480""S","57º28'37.106""W"
Oficial,1,Concepción,Concepción,ESCUELA BÁSICA N° 186 PROFESOR JORGE SEBASTIÁN MIRANDA,39,45,44,45,44,47,"23º24'24.085""S","57º26'47.08""W"
Oficial,5,Caaguazú,Coronel Oviedo,ESCUELA BÁSICA N° 1973 COSTA ALEGRE,52,39,45,41,40,47,"25º26'35.224""S","56º27'0.221""W"
Oficial,11,Central,Guarambaré,ESCUELA BÁSICA N° 261 DEFENSORES DEL CHACO,44,44,46,44,38,47,"25º29'26.679""S","57º27'27.521""W"
Oficial,10,Alto Paraná,Hernandarias,ESCUELA BÁSICA N° 3172 SAN MIGUEL ARCANGEL,31,49,49,48,43,43,"25º26'10.871""S","54º39'8.894""W"
Oficial,11,Central,San Antonio,ESCUELA BÁSICA N° 3444 29 DE SETIEMBRE,39,44,38,46,54,42,"25º23'47.133""S","57º33'30.476""W"
Oficial,15,Presidente Hayes,Benjamín Aceval,ESCUELA BÁSICA N° 95 DOCTOR MANUEL PEÑA,35,43,46,38,49,51,"24º59'32.416""S","57º33'18.68""W"
Oficial,11,Central,Mariano Roque Alonso,ESCUELA BÁSICA N° 4744 PROFESORA OTILIA FERNÁNDEZ DE ACOSTA,37,47,50,42,50,36,"25º12'40.646""S","57º32'22.42""W"
Oficial,3,Cordillera,Loma Grande,ESCUELA BÁSICA N° 286 DON PEDRO ANTONIO CÁRDENAS,46,44,49,35,44,43,"25º10'38.303""S","57º13'55.151""W"
Oficial,3,Cordillera,Piribebuy,ESCUELA BÁSICA N° 371 CABO 1° LISANDRO CABRAL,43,40,40,48,48,42,"25º27'32.318""S","57º2'45.512""W"
Oficial,11,Central,Villa Elisa,ESCUELA BÁSICA N° 3654 EVER FAUSTINO BEAUFORT,45,43,46,45,43,39,"25º23'29.59""S","57º35'15.936""W"
Oficial,10,Alto Paraná,Minga Guazú,ESCUELA BÁSICA N° 5496 SANTA TERESITA,42,40,50,38,52,39,"25º28'44.795""S","54º44'32.162""W"
Oficial,15,Presidente Hayes,Villa Hayes,ESCUELA BÁSICA N° 125 PDTE. RUTHERFORD B. HAYES,40,51,46,46,39,38,"25º5'47.013""S","57º31'20.015""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 3743 SAN ANTONIO,50,41,41,43,48,37,"25º29'52.929""S","54º37'40.339""W"
Oficial,0,Capital,Asunción,ESCUELA BÁSICA N° 13 DOCTOR FERNANDO DE LA MORA,37,55,42,50,43,32,"25º18'20.804""S","57º37'2.484""W"
Oficial,5,Caaguazú,Dr. Juan Eulogio Estigarribia,ESCUELA BÁSICA N° 987 REINO DE HOLANDA,41,55,49,38,43,32,"25º20'28.193""S","55º42'16.927""W"
Oficial,12,Ñeembucú,Pilar,ESCUELA BÁSICA N° 1288 SAN RAMÓN,43,43,38,42,51,39,"26º51'21.636""S","58º17'16.947""W"
Oficial,11,Central,San Lorenzo,ESCUELA BÁSICA N° 602 PROFESORA ANASTASIA VALLEJOS MORAES,39,46,35,50,38,47,"25º20'7.012""S","57º29'33.69""W"
Oficial,11,Central,Fernando de la Mora,ESCUELA BÁSICA N° 662 MARÍA AUXILIADORA,50,45,45,46,30,37,"25º18'51.782""S","57º32'47.989""W"
Oficial,17,Alto Paraguay,Carmelo Peralta,ESCUELA BÁSICA N° 1268 PDTE. CARLOS ANTONIO LÓPEZ,52,56,39,42,36,28,"21º40'28.004""S","57º54'33.016""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 5433 RAMÓN INDALECIO CARDOZO,30,44,42,49,43,45,"25º29'36.168""S","54º39'19.622""W"
Oficial,13,Amambay,Pedro Juan Caballero,ESCUELA BÁSICA N° 7101 DON IVAR GONZÁLEZ SAFSTRAND,40,48,42,41,37,45,"22º34'28.836""S","55º46'24.452""W"
Oficial,15,Presidente Hayes,Villa Hayes,ESCUELA BÁSICA N° 6553 SAN JORGE,48,46,48,45,30,35,"25º8'41.998""S","57º33'4.015""W"
